words,definition,pos_tag,freq_of_use
kuasa,[kua.sa]  Definisi :1. daya atau kemampuan utk melakukan atau mengerjakan sesuatu keupayaan kekuatan tenaga: serangga mempunyai ~ terbang dan cara bernafas yg istimewa 2. berupaya mampu berdaya melakukan sesuatu Maha ~ Berkuasa amat besar kuasa-Nya Tuhan 3. sanggup serta berminat membuat atau melakukan sesuatu: Azmi tidak ~ hendak melayan orang macam bapa saudaranya itu ia tidak ~ berebut-rebut mengambil tempat tak ~ hamba tinggal seorang diri di rumah 4. hak atau kewibawaan atas sesuatu atau utk melakukan mengurus memerintah dll sesuatu ditentukan oleh undang-undang peraturan dll: polis mempunyai ~ menahan seseorang yg disyaki ia diberi ~ utk menyelesaikan pertikaian itu ~ dan tanggungjawab seseorang ketua jabatan mengambil ~ memperoleh kuasa hak atas sesuatu tanah harta dll dgn rasmi 5. orang yg diberi hak utk melakukan atau menentukan sesuatu: datang pula sebuah sampan membawa surat Tuan Farquhar kpd ~nya di Melaka menyuruh hantarkan barang-barangnya ~ pusat badan yg mempunyai kuasa tertinggi 6. pengaruh atau kewibawaan yg ada pd seseorang dll kerana kedudukannya darjatnya dsb: kalau dia digulingkan ~nya akan hilang dan ranaplah segala kemuliaannya ~ kerajaan Majapahit yg terasa hingga ke Siam 7. negara yg mempunyai pengaruh atas negara-negara lain: ~-~ Barat ~ Eropah empat ~ besar empat negara yg berpengaruh iaitu Amerika Syarikat Great Britain Perancis dan Rusia 8. Mat nombor yg menunjukkan sesuatu nombor itu didarabkan banyak kali dgn nombor yg sama mis 63 disebut enam kuasa tiga iaitu 6 didarabkan tiga kali 6 x 6 x 6 dgn hasilnya 216 ~ air tenaga yg diperoleh dr air terjun atau air mengalir utk menjalankan jentera ~ atom kekuatan tenaga yg diperoleh drpd pecahan nukleus ~ autonomi kuasa mentadbir dll yg ada pd negeri badan-badan pertubuhan dll ~ bateri tenaga elektrik yg diperoleh dr bateri ~ beli kemampuan membeli barang-barang dll ~ besar negara yg berkuasa dr segi ekonomi ketenteraan dll spt Amerika Syarikat ~ elektrik tenaga daya elektrik ~ ghaib kuasa atau kekuatan yg datang dr sesuatu yg tidak dapat dilihat spt kesaktian dll ~ kehakiman Udg kuasa yg diberikan kpd badan kehakiman utk mendengar dan mengadili pertelingkahan antara pihak-pihak yg terbabit ~ kuda a tenaga atau kekuatan kuda b ukuran kekuatan enjin atau motor kekuatan utk mengangkat berat 550 paun setinggi satu kaki dlm satu saat ~ mutlak kuasa sepenuh-penuhnya ~ pembatal kuasa atau hak menolak membatalkan sesuatu keputusan yg telah dicapai oleh pihak lain atau undang-undang ~ suria sinaran haba drpd matahari yg ditukarkan kpd kuasa elektrik ~ usaha a pegawai yg menjalankan tugas kewajiban duta apabila duta tidak ada bercuti dll b diplomat yg tidak bertaraf duta yg mengetuai perwakilan negerinya di negeri asing sekuasa seboleh sedapat: maka oleh Kartala Sari dicurinya harta saudagar itu ~ pembawaannya sekuasa-kuasanya seboleh-bolehnya sedapatdapatnya sedaya upaya: dgn ~ diambilnyalah lampiran surat itu lalu dibacanya berkuasa 1. mempunyai kuasa hak wibawa berhak atas sesuatu atau utk melakukan mengurus dsb sesuatu: sbg ketua beliau ~ memutuskan perkara-perkara spt itu mereka diperintahkan oleh pihak yg ~ supaya keluar dr situ 2. mempunyai kemampuan berkemampuan berkesanggupan menguasai 1. berkuasa atas sesuatu mengenakan kuasa kewibawaan pengaruh dsb pd atau ke atas sesuatu: mereka dapat ~ seluruh kota itu negara yg cuba ~ negara lain dgn kekuatan tenteranya 2. mengatasi dan mengawal keadaan dll mengekang nafsu ~ hawa nafsu mengekang mengawal hawa nafsu 3. memiliki dan menguruskan mengendalikan: sebahagian besar drpd ladang-ladang getah itu dikuasai oleh orang asing 4. mengetahui dgn mendalam menjadikan diri mahir atau berpengetahuan tentang sesuatu: setiap orang Malaysia berkemungkinan ~ lebih drpd satu bahasa menguasakan memberi kuasa kpd mewakilkan: anaknya dikuasakan mengurus perusahaan itu sepeninggalannya terkuasa terkuasai tidak ~ tidak dapat dikuasai dikendalikan dll kekuasaan 1. kuasa atau hak memutuskan memerintah mengurus dll: negeri itu sekarang di bawah ~ kerajaan pusat 2. kekuatan kemampuan: raja itu masyhur kerana ~nya ~ Tuhan penguasaan perihal menguasai atau menguasakan: ~ bahasa sendiri sangat penting bagi seseorang penterjemah berpenguasaan sl ark mempunyai penguasaan penguasa 1. orang atau badan yg berkuasa atas sesuatu atau utk menentukan mengurus sesuatu 2. kekuasaan: tiadalah apa ~ hamba hendak bawa dia ke sana sini ~ perang orang yg berkuasa dlm masa perang darurat ~ polis jawatan pegawai dlm pasukan polis tiga tingkat lebih tinggi drpd jawatan inspektor.Kamus Dewan Edisi Keempat[kua.sa]  Definisi :ark sj tongkat yg hujungnya bercangkuk besi utk mengemudikan gajah angkus kosa.Kamus Dewan Edisi Keempat[kua.sa]  Definisi :1 kemampuan atau kekuatan utk melakukan sesuatu tenaga daya: Apa ~ kita menentang pengganas-pengganas yg bermaharajalela di sana 2 hak yg diberikan kpd seseorang persatuan badan dll utk mengurus atau utk melakukan sesuatu: Beliau telah diberi ~ menangkap sesiapa yg melanggar undang-undang. 3 hasil yg diperoleh dgn mendarabkan sesuatu nombor dgn nombor itu sendiri beberapa kali: ~ dua ~ tiga ~ empat. Dua ~ tiga ialah 2  2  2 iaitu 8. ~ air tenaga yg diperoleh drpd air terjun atau air yg mengalir utk menjalankan jentera dll. ~ atom tenaga yg diperoleh drpd pecahan nukleus. ~ elektrik tenaga elektrik utk menjalankan jentera dll. ~ ghaib kekuatan yg diperoleh drpd sesuatu yg tidak dpt dilihat kesaktian. ~ kuda a. tenaga atau kekuatan kuda. b. kekuatan enjin atau motor utk mengangkat 550 paun setinggi satu kaki dlm masa satu saat. berkuasa mempunyai kuasa berhak atas sesuatu atau berhak melakukan sesuatu dpt atau boleh melakukan sesuatu berdaya sanggup mampu: Dia tidak ~ membuat kerja itu. Siapa yg sebenarnya ~ di sini menguasai 1 berkuasa atas sesuatu menjalankan atau mengenakan kuasa pd: Pasukan keselamatan telah dpt ~ kawasan itu semula. 2 mentadbirkan negara dll mengurus memerintah: Orang-orang asing masih ~ syarikat-syarikat besar di negara kita. kekuasaan kuasa atau hak utk memerintah mengurus dll kekuatan kesanggupan: Orang Belanda berasa cemburu kerana ~nya akan terganggu. penguasaan perbuatan atau hal menguasai: ~ bahasa Melayunya sangat lemah. penguasa orang yg berkuasa atas sesuatu atau utk mengurus sesuatu.Kamus Pelajar Edisi Kedua,kata nama,High
menghasilkan,[meng.ha.sil.kan]  Definisi :1. mendatangkan mengeluarkan memberikan hasil: Asia Tenggara ~ bijih timah yg banyak sekali di dunia 2. mencipta sesuatu: bagi ~ bunyi sesuatu jirim itu mestilah bergetar ia seorang pengarang yg ~ lebih drpd 20 buah cerita pendek 3. mengakibatkan 4. menyebabkan berhasil membuahkan: pertemuan mereka yg pertama itu telah ~ rasa cinta di dalam sanubari masing-masing ketekunanlah yg telah ~ usahanyaKamus Dewan Edisi Keempat[meng.ha.sil.kan]  Definisi :1 mendatangkan hasil mengeluarkan hasil: Australia ~ kira-kira satu pertiga drpd jumlah eksport bulu biri-biri di dunia. 2 mencipta sesuatu: Beliau telah ~ lebih drpd dua puluh buah cerita pendek. 3 mendatangkan sesuatu kebaikan dll membuahkan: Perkenalan itu telah ~ satu perhubungan yg mesra.Kamus Pelajar Edisi Kedua,kata nama,High
peluang,[pe.luang]  Definisi :1. terhenti atau reda angin dll senggang atau tidak sibuk pekerjaan dll musim ~ musim tak ada angin 2. kelapangan kesempatan: ia memberanikan hatinya mengambil ~ datang bertemu dgn suaminya ~ keemasan berpeluang mempunyai mendapat peluang: mereka tidak ~ utk menggunakan kebolehannya.Kamus Dewan Edisi Keempat[pe.luang]  Definisi :kesempatan baik ketika yg baik: kalau ~ ini dilepaskan mungkin seumur hidup ia akan menyesal.Kamus Dewan Edisi Keempat[pe.luang]  Definisi :1 terhenti bkn angin pekerjaan dsb: musim ~ musim tidak berangin. 2 keadaan yg menguntungkan peristiwa baik nasib yg baik kesempatan: Kalau ada ~ saya bermaksud belajar di luar negara. berpeluang ada peluang mendapat peluang: Saya ~ menemuinya di sana.Kamus Pelajar Edisi Kedua[pe.luang]  Definisi :kesempatan yg baik: Semasa cuti dia mendapat ~ pergi ke Bukit Fraser.Kamus Pelajar Edisi Kedua,kata nama,High
pekerjaan,[pe.ker.ja.an]  Definisi :sesuatu yg diusahakan dilakukan berterusan kerana mencari nafkah: ~nya yg baru ini menjadikan hidupnya agak senangKamus Dewan Edisi Keempat[pe.ker.ja.an]  Definisi :1. sesuatu yg dikerjakan dilakukan dibuat perbuatan: ~mu membakar negeri Langkapuri itu juga bukan ~ laki-laki 2. sesuatu yg dilakukan harus dilakukan sbg tanggungjawab kewajiban tugas: sempurnalah ~ yg dititahkan paduka ayahanda itu ~nya membersihkan pekarangan rumah belum selesai ~ Allah kewajiban kpd Allah 3. sesuatu usaha kegiatan dsb yg dilakukan berterusan dr sehari ke sehari utk keperluan hidup usaha atau kegiatan utk mendapatkan wang pencarian: pd masa itu bapaku memegang ~ tuan syahbandar Holanda mereka semua mahukan ~ yg memberikan pendapatan yg besar ~ kolar putih kerja spt yg dilakukan oleh golongan pengurusan profesional perkeranian dsb iaitu bukan kerja kasar yg memerlukan kekuatan tenaga ~ tangan kerja membuat barang-barang dgn tangan spt menganyam dll 4. ark pergerakan atau perjalanan sesuatu: beliau menerangkan ~ jentera itu kpd pelawat-pelawat 5. majlis istiadat perkahwinan dll: banyak dia berbelanja kerana ~ kahwin anaknya ~ baik lekas-lekaskan jangan ditimpa ~ buruk ~ buruk lambat-lambatkan untung-untung datang ~ baik prb Mn pekerjaan baik spt pekerjaan kahwin hendaklah disegerakan melakukannya supaya tidak ada apa-apa halangan sebaliknya pekerjaan yg tidak baik hendaklah ditangguhkan supaya dapat difikirkan dgn lebih telitiKamus Dewan Edisi Keempat[pe.ker.ja.an]  Definisi :1 sesuatu yg dilakukan utk mencari nafkah hidup pencarian: ~ mereka ialah bercucuk tanam dan menangkap ikan. 2 sesuatu yg dikerjakan atau yg dibuat: Demikianlah ~nya setiap hari.Kamus Pelajar Edisi Kedua[pe.ker.ja.an]  Definisi :sesuatu yg dilakukan oleh seseorang utk mencari nafkah pencarian: Ada yg ~nya berladang dan ada pula yg berniaga. 2 sesuatu yg mesti dilaksanakan tugas: Tiap-tiap orang hendaklah menjalankan ~ masing-masing. 3 kegiatan atau usaha melakukan sesuatu: ~nya tiap-tiap hari tiada lain drpd membaca surat khabar. ~ kayu pertukangan kayu spt membuat kerusi dll.Kamus Pelajar Edisi Kedua,kata nama,High
langkah,[lang.kah]  Definisi :1. gerak kaki ketika berjalan ke hadapan atau ke belakang: pasangan suami isteri itu pun berjalan pulang dgn ~ yg berat 2. jarak di antara dua belah kaki ketika berjalan: ada kira-kira lima ~ ia meninggalkan tangga rumah ia berhenti 3. cara mengerjakan sesuatu sesuatu yg dikerjakan perbuatan: sejak tadi lagi kuketahui dan kuawasi ~nya 4. awal perbuatan perjalanan pekerjaan dll ~ baik buruk permulaan yg baik buruk ~ bendul a berkahwin dahulu drpd kakak b memperisteri adik sedangkan kakaknya belum berkahwin ~ gelombang dua belas nama gerak dlm pencak silat ~ kanan mujur ~ kiri sial tidak beruntung ~ surut undur langkah ke belakang mengangkat membuka mengambil ~ seribu cabut lari kerana takut dll melangkah berlangkah 1. menggerakkan langkah mengayunkan langkah berjalan: ia ~ dua langkah ke hadapan 2. memulai perjalanan pelayaran dll: serta mustaid ia pun ~lah dgn tauhid hatinya meninggalkan kampung halaman 3.  melangkahi 4. tidak mengikut susunan melangkau: dilangkahnya beberapa perenggan lalu membaca perenggan yg lain 5. ark melalui menempuh: ~ lautan melangkahi 1. melampaui melangkaui: ia terus ~ tangga 2. melanggar tidak mengikut tatatertib peraturan dll menyalahi: perbuatan spt itu dianggap telah ~ adat Melayu adat bermain pantai itu sudah menjadi adat pusaka yg tak boleh dilangkahi lagi ~ bendul langkah bendul ~ laki bermukah bkn perempuan yg sudah bersuami melangkahkan 1. menggerakkan langkah menggerakkan kaki kerana berjalan: dia ~ kakinya mundar-mandir mengelilingi Kota Melaka 2. memulakan perjalanan atau pelayaran perahu dll langkahan hasil perbuatan melangkah: harimau itu berhenti drpd meneruskan ~ kakinya kelangkahan 1. suami yg isterinya berlaku curang 2. didahului adiknya berkahwin kelampauan 3. Jk dilangkahi atau dilalui pelangkahan 1. perihal melangkah melangkahi melangkahkan 2.  pelangkah permulaan sesuatu pekerjaan pelayaran tindakan dll: menurut ilmu ~ ini alamat buruk pd kali ini barulah pelangkahnya betul kerana waktu ia sampai bapanya sudah balik.Kamus Dewan Edisi Keempat[lang.kah]  Definisi :1 gerakan kaki ketika berjalan: Mereka berjalan dgn ~ yg perlahan. 2 jarak antara dua belah kaki ketika berjalan: Dia berundur tiga ~. 3 apa-apa yg dikerjakan tindakan perbuatan: Pihak polis sentiasa mengawasi setiap ~ yg dilakukannya. ~ baik buruk permulaan yg baik buruk. ~ bendul ki hal adik berkahwin dahulu sebelum kakak bkn adik-beradik perempuan. ~ kanan mujur. ~ kiri sial atau tidak beruntung. ~ seribu perbuatan melarikan diri secepat-cepatnya kerana takut dll. melangkah 1 menggerakkan langkah: Dia berhati-hati ~ supaya tidak terpijak tanah yg becak. 2 memulakan perjalanan pelayaran dll: Baru saja ia ~ dr rumah hari pun hujan. melangkahi 1 melakukan sesuatu melebihi yg sepatutnya melampaui: ~ batas. 2 tidak mematuhi peraturan nasihat dsb melanggar perintah dsb: ~ kakak lebih dahulu berkahwin ttg adik ~ suami berlaku curang terhadap suami. melangkahkan 1 menggerakan kaki ke depan utk berjalan. 2 memulakan sesuatu perjalanan pelayaran dsb dgn upacara.Kamus Pelajar Edisi Kedua,kata nama,High
industri,[in.dus.tri]  Definisi :perusahaan biasanya secara besar-besaran utk membuat menghasilkan mengeluarkan barangan: negara itu mempunyai ~ yg maju ~ berat perusahaan yg mengeluarkan barangan atau bahan utk keperluan perusahaan lain ~ kecil dan sederhana perusahaan yg pusing ganti jualan tahunannya tidak melebihi RM25 juta dan jumlah pekerja tidak melebihi 150 orang ~ ringan perusahaan yg memerlukan modal kecil utk mengeluarkan barangan pengguna mengindustrikan menjadikan industri perindustrian perihal industri yg berkaitan dgn industri: negara ~ negara yg kehidupan sebahagian besar drpd penduduknya bergantung pd industri pengindustrian usaha kegiatan proses mendirikan dan memajukan perusahaan.Kamus Dewan Edisi Keempat[in.dus.tri]  Definisi :1 perusahaan secara besar-besaran: negara ~ negara yg mendapat hasil yg banyak drpd industri-industrinya. 2 perusahaan kerajinan tangan atau kerja tangan. perindustrian hal mengenai industri. ~ desa perusahaan yg dilakukan di rumah spt membuat bahan-bahan anyaman tembikar songket.Kamus Pelajar Edisi Kedua,kata nama,High
pula,[pu.la]  Definisi :1. sekali lagi berulang lagi datang lagi kembali lagi: kelmarin sudah tidak hadir hari ini tidak hadir ~ nampaknya saya ini dicalonkan ~ 2.  lagi ~ lebih-lebih lagi tambahan lagi: memang ia mempunyai kelayakan lagi ~ ia seorang yg sangat suka berkhidmat istimewa ~ lebih-lebih lagi 3. juga sama halnya dgn yg terdahulu: saya pun demikian ~ saya ~ yg menyokongnya 4. gerangan konon yg bererti tah: apa ~ yg mengganggui fikirannya itu apa ~ ertinya hidup seorang yg telah putus harapannyaKamus Dewan Edisi Keempat[pu.la]  Definisi :1 agaknya gerangan: Siapa ~ yg datang malam-malam begini 2 berulang lagi sekali lagi: Pagi tadi sudah datang sekarang datang ~. 3 juga: Ada ~ orang yg menyokongnya.Kamus Pelajar Edisi Kedua,kata tugas,Moderate
untuk,[un.tu]  Definisi :1. ditentukan disediakan bagi merupa-kan bahagian seseorang dll: tanah getah yg lima ekar ini ~mu dan tanah sawah yg dua ekar itu ~ adikmu 2. guna bagi buat: wang ~ membeli makanan ruang ~ bekerja 3. digunakan dipakai sebagai dijadikan supaya menjadi atau dijadikan: ditumbuknya kulit kayu itu halus-halus ~ ubat dibawanya buluh rencong ~ senjata 4. bermaksud hendak: saya terlalu takut ~ lari 5. diberikan dihantar kepada: beliau telah mengirim wang RM50.00 ~ ayahnya 6. melakukan mengerjakan sesuatu supaya supaya dapat: ~ melihat dgn jelas penyimpangan dr segi bentuk ini di bawah ini diturunkan dua rangkap permulaan Syair Sinyor Kosta ~ memahami keadaan yg berlaku sekarang ini perlu dikaji perkembangan-perkem-bangan sebelumnya beruntuk 1. sudah menerima bahagian masing-masing sudah memiliki bahagian masing-masing 2. sudah ditetapkan bahagian masing-masing: pusaka itu belum lagi ~ memperuntukkan menguntukkan menetapkan mencadangkan menyediakan bagi membahagikan atau mengekhaskan bagi sesuatu tujuan keperluan dll: perbelanjaan mengadakan pertandingan itu tahun ini diperuntukkan sebanyak RM60 000 maka kerajaan terpaksa ~ lebih banyak wang utk pertahanan dan keselamatan negara teruntuk 1. sudah ditetapkan sbg bahagian seseorang sesuatu keperluan dll 2. ditetap-kan dikhususkan bagi seseorang peruntukan 1. sesuatu yg telah diuntukkan bahagian atau jumlah wang dll yg ditetapkan ditentukan utk: Dewan Rakyat telah me-luluskan ~ utk membina rumah-rumah pemulihan akhlak 2. syarat atau ketentuan dlm undang-undang dsb: ~ undang-undang utk membataskan poligami.Kamus Dewan Edisi Keempat[un.tu]  Definisi :1 ditentukan atau disediakan bagi dikhaskan bagi: Baju dua helai ini ~ kakakmu. 2 buat guna: tepung ~ membuat kuih. 3 digunakan atau dipakai sbg dijadikan sbg: Dia telah membawa pisau ~ senjata. 4 bermaksud akan hendak: Ia ke bandar ~ membeli kasut. beruntuk sudah mempunyai bahagiannya masing-masing telah ditentukan bahagiannya. menguntukkan menyediakan atau menetapkan bagi: Ayahnya sudah ~ wang tiga ribu ringgit sbg belanja perkahwinannya nanti. peruntukan sesuatu yg diuntukkan bahagian yg disediakan utk sesuatu: ~ sudah dibuat utk membina surau itu.Kamus Pelajar Edisi Kedua,kata tugas,Moderate
kuasa,[kua.sa]  Definisi :1. daya atau kemampuan utk melakukan atau mengerjakan sesuatu keupayaan kekuatan tenaga: serangga mempunyai ~ terbang dan cara bernafas yg istimewa 2. berupaya mampu berdaya melakukan sesuatu Maha ~ Berkuasa amat besar kuasa-Nya Tuhan 3. sanggup serta berminat membuat atau melakukan sesuatu: Azmi tidak ~ hendak melayan orang macam bapa saudaranya itu ia tidak ~ berebut-rebut mengambil tempat tak ~ hamba tinggal seorang diri di rumah 4. hak atau kewibawaan atas sesuatu atau utk melakukan mengurus memerintah dll sesuatu ditentukan oleh undang-undang peraturan dll: polis mempunyai ~ menahan seseorang yg disyaki ia diberi ~ utk menyelesaikan pertikaian itu ~ dan tanggungjawab seseorang ketua jabatan mengambil ~ memperoleh kuasa hak atas sesuatu tanah harta dll dgn rasmi 5. orang yg diberi hak utk melakukan atau menentukan sesuatu: datang pula sebuah sampan membawa surat Tuan Farquhar kpd ~nya di Melaka menyuruh hantarkan barang-barangnya ~ pusat badan yg mempunyai kuasa tertinggi 6. pengaruh atau kewibawaan yg ada pd seseorang dll kerana kedudukannya darjatnya dsb: kalau dia digulingkan ~nya akan hilang dan ranaplah segala kemuliaannya ~ kerajaan Majapahit yg terasa hingga ke Siam 7. negara yg mempunyai pengaruh atas negara-negara lain: ~-~ Barat ~ Eropah empat ~ besar empat negara yg berpengaruh iaitu Amerika Syarikat Great Britain Perancis dan Rusia 8. Mat nombor yg menunjukkan sesuatu nombor itu didarabkan banyak kali dgn nombor yg sama mis 63 disebut enam kuasa tiga iaitu 6 didarabkan tiga kali 6 x 6 x 6 dgn hasilnya 216 ~ air tenaga yg diperoleh dr air terjun atau air mengalir utk menjalankan jentera ~ atom kekuatan tenaga yg diperoleh drpd pecahan nukleus ~ autonomi kuasa mentadbir dll yg ada pd negeri badan-badan pertubuhan dll ~ bateri tenaga elektrik yg diperoleh dr bateri ~ beli kemampuan membeli barang-barang dll ~ besar negara yg berkuasa dr segi ekonomi ketenteraan dll spt Amerika Syarikat ~ elektrik tenaga daya elektrik ~ ghaib kuasa atau kekuatan yg datang dr sesuatu yg tidak dapat dilihat spt kesaktian dll ~ kehakiman Udg kuasa yg diberikan kpd badan kehakiman utk mendengar dan mengadili pertelingkahan antara pihak-pihak yg terbabit ~ kuda a tenaga atau kekuatan kuda b ukuran kekuatan enjin atau motor kekuatan utk mengangkat berat 550 paun setinggi satu kaki dlm satu saat ~ mutlak kuasa sepenuh-penuhnya ~ pembatal kuasa atau hak menolak membatalkan sesuatu keputusan yg telah dicapai oleh pihak lain atau undang-undang ~ suria sinaran haba drpd matahari yg ditukarkan kpd kuasa elektrik ~ usaha a pegawai yg menjalankan tugas kewajiban duta apabila duta tidak ada bercuti dll b diplomat yg tidak bertaraf duta yg mengetuai perwakilan negerinya di negeri asing sekuasa seboleh sedapat: maka oleh Kartala Sari dicurinya harta saudagar itu ~ pembawaannya sekuasa-kuasanya seboleh-bolehnya sedapatdapatnya sedaya upaya: dgn ~ diambilnyalah lampiran surat itu lalu dibacanya berkuasa 1. mempunyai kuasa hak wibawa berhak atas sesuatu atau utk melakukan mengurus dsb sesuatu: sbg ketua beliau ~ memutuskan perkara-perkara spt itu mereka diperintahkan oleh pihak yg ~ supaya keluar dr situ 2. mempunyai kemampuan berkemampuan berkesanggupan menguasai 1. berkuasa atas sesuatu mengenakan kuasa kewibawaan pengaruh dsb pd atau ke atas sesuatu: mereka dapat ~ seluruh kota itu negara yg cuba ~ negara lain dgn kekuatan tenteranya 2. mengatasi dan mengawal keadaan dll mengekang nafsu ~ hawa nafsu mengekang mengawal hawa nafsu 3. memiliki dan menguruskan mengendalikan: sebahagian besar drpd ladang-ladang getah itu dikuasai oleh orang asing 4. mengetahui dgn mendalam menjadikan diri mahir atau berpengetahuan tentang sesuatu: setiap orang Malaysia berkemungkinan ~ lebih drpd satu bahasa menguasakan memberi kuasa kpd mewakilkan: anaknya dikuasakan mengurus perusahaan itu sepeninggalannya terkuasa terkuasai tidak ~ tidak dapat dikuasai dikendalikan dll kekuasaan 1. kuasa atau hak memutuskan memerintah mengurus dll: negeri itu sekarang di bawah ~ kerajaan pusat 2. kekuatan kemampuan: raja itu masyhur kerana ~nya ~ Tuhan penguasaan perihal menguasai atau menguasakan: ~ bahasa sendiri sangat penting bagi seseorang penterjemah berpenguasaan sl ark mempunyai penguasaan penguasa 1. orang atau badan yg berkuasa atas sesuatu atau utk menentukan mengurus sesuatu 2. kekuasaan: tiadalah apa ~ hamba hendak bawa dia ke sana sini ~ perang orang yg berkuasa dlm masa perang darurat ~ polis jawatan pegawai dlm pasukan polis tiga tingkat lebih tinggi drpd jawatan inspektor.Kamus Dewan Edisi Keempat[kua.sa]  Definisi :ark sj tongkat yg hujungnya bercangkuk besi utk mengemudikan gajah angkus kosa.Kamus Dewan Edisi Keempat[kua.sa]  Definisi :1 kemampuan atau kekuatan utk melakukan sesuatu tenaga daya: Apa ~ kita menentang pengganas-pengganas yg bermaharajalela di sana 2 hak yg diberikan kpd seseorang persatuan badan dll utk mengurus atau utk melakukan sesuatu: Beliau telah diberi ~ menangkap sesiapa yg melanggar undang-undang. 3 hasil yg diperoleh dgn mendarabkan sesuatu nombor dgn nombor itu sendiri beberapa kali: ~ dua ~ tiga ~ empat. Dua ~ tiga ialah 2  2  2 iaitu 8. ~ air tenaga yg diperoleh drpd air terjun atau air yg mengalir utk menjalankan jentera dll. ~ atom tenaga yg diperoleh drpd pecahan nukleus. ~ elektrik tenaga elektrik utk menjalankan jentera dll. ~ ghaib kekuatan yg diperoleh drpd sesuatu yg tidak dpt dilihat kesaktian. ~ kuda a. tenaga atau kekuatan kuda. b. kekuatan enjin atau motor utk mengangkat 550 paun setinggi satu kaki dlm masa satu saat. berkuasa mempunyai kuasa berhak atas sesuatu atau berhak melakukan sesuatu dpt atau boleh melakukan sesuatu berdaya sanggup mampu: Dia tidak ~ membuat kerja itu. Siapa yg sebenarnya ~ di sini menguasai 1 berkuasa atas sesuatu menjalankan atau mengenakan kuasa pd: Pasukan keselamatan telah dpt ~ kawasan itu semula. 2 mentadbirkan negara dll mengurus memerintah: Orang-orang asing masih ~ syarikat-syarikat besar di negara kita. kekuasaan kuasa atau hak utk memerintah mengurus dll kekuatan kesanggupan: Orang Belanda berasa cemburu kerana ~nya akan terganggu. penguasaan perbuatan atau hal menguasai: ~ bahasa Melayunya sangat lemah. penguasa orang yg berkuasa atas sesuatu atau utk mengurus sesuatu.Kamus Pelajar Edisi Kedua,kata kerja,Moderate
menerusi,[me.ne.ru.si]  Definisi :1. masuk sampai ke melantas pd menembus pd: jahitan yg awal dan yg akhir sahaja yg ~ kain yg lain itu lalu di bawah urat benang sahaja 2. dgn perantaraan melalui: masukkan sehelai benang halus ~ lubang-lubang pd kertas tebal itu dia mengirim buku-buku itu ~ sayaKamus Dewan Edisi Keempat[me.ne.ru.si]  Definisi :dgn perantaraan melalui: Pencuri masuk ke dlm rumah itu ~ tingkap. Dia mengirim wang itu ~ kawannya.Kamus Pelajar Edisi Kedua,adverba,Low
menerusi,[me.ne.ru.si]  Definisi :1. masuk sampai ke melantas pd menembus pd: jahitan yg awal dan yg akhir sahaja yg ~ kain yg lain itu lalu di bawah urat benang sahaja 2. dgn perantaraan melalui: masukkan sehelai benang halus ~ lubang-lubang pd kertas tebal itu dia mengirim buku-buku itu ~ sayaKamus Dewan Edisi Keempat[me.ne.ru.si]  Definisi :dgn perantaraan melalui: Pencuri masuk ke dlm rumah itu ~ tingkap. Dia mengirim wang itu ~ kawannya.Kamus Pelajar Edisi Kedua,adjektif,Moderate
pelancaran,[pe.lan.ca.ran]  Definisi :ark pelantaran pelantar I.Kamus Dewan Edisi Keempat[pe.lan.ca.ran]  Definisi :ark pelantar pelantaranKamus Dewan Edisi Keempat[pe.lan.ca.ran]  Definisi :perihal atau perbuatan melancarkan memulakan sesuatu gerakan rancangan dll: ~ kempen kebersihan oleh Perdana MenteriKamus Dewan Edisi Keempat[pe.lan.ca.ran]  Definisi :perbuatan melancarkan memulakan sesuatu gerakan dll: ~ Sputnik dan Explorer telah disusuli oleh beberapa jenis bulan rekaan lagi.Kamus Pelajar Edisi Kedua,adjektif,Moderate
bersepadu,[ber.se.pa.du]  Definisi :berkaitan erat tidak terpisah-pisah berjalin bertahan erat antara pelbagai unsurnya dsb: pembangunan secara ~ ini diharap dapat mewujudkan kesatuan sosial mempunyai asas sumber asli yg ~ dgn struktur perindustrianKamus Dewan Edisi Keempat,adjektif,Moderate
semikonduktor,[sé.mi.kon.duk.tor]  Definisi :sémikonduktor Fiz bahan mis silikon dan germanium yg kadar aliran elektriknya bertambah dgn bertambahnya suhu nilai kadar ini terletak antara kadar aliran logam dan penebat.Kamus Dewan Edisi Keempat[sé.mi.kon.duk.tor]  Definisi :sémikonduktor ist bahan yg keupayaan aliran elektriknya adalah antara keupayaan aliran elektrik logam dgn keupayaan aliran elektrik penebat biasanya digunakan dlm membuat peranti elektronik.Kamus Pelajar Edisi Kedua,-,-
malaysia,Definisi :negara yg terletak di Asia Tenggara yg ibu negaranya Kuala Lumpur bahasa rasmi dan bahasa kebangsaannya bahasa Melayu dan agama rasminya agama Islam memalaysiakan menyesuaikan atau menjadikan sesuatu supaya bercirikan Malaysia: pakaian tradisi Cina yg telah dimalaysiakan bersesuaian dgn suasana tempatan kemalaysiaan berhubung dgn atau bersifat Malaysia sbg sebuah negara seluruhnya: banyak ciri dan cita-citanya lebih melambangkan ciri dan cita-cita ~ pemalaysiaan perbuatan proses menjadikan sesuatu bercirikan Malaysia: penyusunan semula masyarakat adalah satu proses ~ semua sektor kehidupan rakyat Malaysia.Kamus Dewan Edisi Keempat,-,-
